stage,seed,n_video,video,backbone,accuracy,f1
FE,8914,2,68,CEN-BB,0.6440162271805274,0.4309755905100789
FE,8914,2,51,CEN-BB,0.5129076086956522,0.29309538372884036
FE,8914,2,72,CEN-BB,0.5701867353509337,0.3209835021727197
FE,8914,2,67,CEN-BB,0.585635359116022,0.31597926563320106
FE,8914,2,64,CEN-BB,0.7339449541284404,0.41017151693589804
FE,8914,2,73,CEN-BB,0.3333333333333333,0.2834088961645492
FE,8914,2,62,CEN-BB,0.47736220472440943,0.35904182128212847
FE,37,4,65,FL-BB,0.5173518419647624,0.3093737544488426
FE,37,4,77,FL-BB,0.4040767386091127,0.32422139300329483
FE,37,4,50,FL-BB,0.35283363802559414,0.260502086896359
FE,37,4,69,FL-BB,0.47650273224043715,0.24854526006545932
FE,37,4,71,FL-BB,0.4719681908548708,0.22214930555128
FE,37,4,63,FL-BB,0.11826390911739004,0.13933654005095106
FE,37,4,57,FL-BB,0.4726443768996961,0.40290560959455674
FE,37,4,56,FL-BB,0.3026172300981461,0.21625451470060023
FE,37,4,58,FL-BB,0.3125312865009177,0.17553350837422718
FE,37,4,78,FL-BB,0.2516914749661705,0.2511462423936318
FE,37,4,75,FL-BB,0.6796671866874675,0.39175332042765315
FE,37,4,49,FL-BB,0.4649910233393178,0.3504704903477099
FE,37,4,54,FL-BB,0.5287096774193548,0.4370842471546359
FE,37,4,66,FL-BB,0.606359649122807,0.43302622040104133
FE,37,4,76,FL-BB,0.6051340128350321,0.4049410318412928
FE,37,4,70,FL-BB,0.38358458961474035,0.3627589051386793
FE,37,4,53,FL-BB,0.6807797745964057,0.44236530300411075
FE,37,4,55,FL-BB,0.5747348119575699,0.4312330431810759
FE,37,4,74,FL-BB,0.46083231334149327,0.39234683126629843
FE,37,4,59,FL-BB,0.372848948374761,0.3352083195576715
FE,37,4,61,FL-BB,0.6046722612837379,0.3096302940092959
FE,37,4,60,FL-BB,0.41706161137440756,0.32071793319003944
FE,37,4,80,FL-BB,0.5127610208816705,0.3486538399875164
FE,37,4,79,FL-BB,0.5618043350908026,0.3839958996381882
FE,37,4,52,FL-BB,0.48372329603255343,0.35956953527771146
